医療機関名称,郵便番号,住所
医療法人社団　池田内科,001-0901,北海道札幌市北区新琴似一条１３－１－７
医療法人社団　健志会　しのろ駅前医院,002-8024,北海道札幌市北区篠路四条６－１１－１７
医療法人社団　清香会　おおしま内科胃腸科クリニック,003-0023,北海道札幌市白石区南郷通１８丁目北３－２８
医療法人社団　小川医院,003-0027,北海道札幌市白石区本通１６丁目北１１－１４
医療法人社団　結樹会　スターフィールドクリニック札幌,003-0801,北海道札幌市白石区菊水１条３－２－１２　ＫＡＷＡＭＵＲＡ　ＢＬＤ　１階
中島内科胃腸科クリニック,003-0811,北海道札幌市白石区菊水上町１－３－３６
ＳＡＭ　ＣＬＩＮＩＣ,004-0033,北海道札幌市厚別区上野幌三条６－５－６
新札幌耳鼻咽喉科医院,004-0051,北海道札幌市厚別区厚別中央一条６－２－１５新札幌センタービル２階
医療法人　ほし内科消化器科クリニック,004-0863,北海道札幌市清田区北野３条２－１３－５７
医療法人　基仁会　新道東おおた内科,007-0837,北海道札幌市東区北三十七条東１５－１－２４
医療法人　工藤胃腸内科クリニック,010-0001,秋田県秋田市中通１－３－５秋田キャッスルホテル２Ｆ
大野小児科医院,010-0013,秋田県秋田市南通築地２－１５
ひかり桜ケアクリニック,010-0042,秋田県秋田市桜２－１７－２３
高橋内科医院,010-0042,秋田県秋田市桜４－１－１
お肌のクリニック,010-0864,秋田県秋田市手形住吉町１－３三愛会ビル２Ｆ
大町内科外科クリニック,010-0921,秋田県秋田市大町１－２－２３
医療法人　武田胃腸クリニック,010-0921,秋田県秋田市大町１－６－１２
島田クリニック,010-0931,秋田県秋田市川元山下町７－２１
はらだ小児科医院,010-0953,秋田県秋田市山王中園町２－１６
えのきこどもクリニック,010-0972,秋田県秋田市八橋田五郎２－１３－１８
中込内科医院,010-0973,秋田県秋田市八橋本町３－１－５
医療法人　健雄会　雄和もてぎクリニック,010-1223,秋田県秋田市雄和妙法字上大部９０－１
医療法人　杏仁会　御所野ひかりクリニック,010-1423,秋田県秋田市仁井田字横山２６０－１
小松内科クリニック,010-1425,秋田県秋田市御野場新町２－１０－１２
加賀谷記念　小松こども医院,010-1425,秋田県秋田市御野場新町４－７－２２
医療法人　藤盛レィディーズクリニック,010-8506,秋田県秋田市東通仲町４－１－４Ｆ
真崎耳鼻咽喉科医院,011-0946,秋田県秋田市土崎港中央６－８－３
医療法人　健生会　佐藤外科胃腸科,012-0037,秋田県湯沢市字沖鶴１６７－２
渡辺内科循環器科医院,013-0060,秋田県横手市条里３－３－１０
和賀胃腸科内科医院,013-0063,秋田県横手市婦気大堤字谷地添１２６
大野医院,014-0325,秋田県仙北市角館町東勝楽丁１７
かとうファミリークリニック,014-1201,秋田県仙北市田沢湖生保内字浮世坂７４－１
木村医院,015-0404,秋田県由利本荘市矢島町七日町字七日町３９
浅野耳鼻咽喉科医院,015-0802,秋田県由利本荘市表尾崎町１７－４
梵天内科クリニック,015-0843,秋田県由利本荘市東梵天１７１－１
佐々木産婦人科医院,015-0874,秋田県由利本荘市給人町３７－１
たなか耳鼻咽喉科医院,016-0861,秋田県能代市字彩霞長根３３－１
ふじた耳鼻咽喉科クリニック,017-0042,秋田県大館市字観音堂４２４－１
石田脳神経外科クリニック,017-0046,秋田県大館市清水１－１－６０
江村胃腸科内科医院,020-0044,岩手県盛岡市城西町７－３３
旭橋クリニック　菊池循環器内科,020-0063,岩手県盛岡市材木町２－２６
ゆとりが丘クリニック,020-0638,岩手県滝沢市土沢５４１
医療法人　ちだ内科・外科クリニック,020-0824,岩手県盛岡市東安庭１－２３－６０
医療法人社団　愛和会　盛岡南病院,020-0835,岩手県盛岡市津志田１３地割１８－４
医療法人　遠山病院,020-0877,岩手県盛岡市下ノ橋町６－１４
医療法人　中野内科循環器科クリニック,021-0053,岩手県一関市山目字中野５７－１
いしかわ内科クリニック,024-0055,岩手県北上市大堤南１－１－２５
医療法人　愛久会　きたかみ駅前内科クリニック,024-0061,岩手県北上市大通り１－３－１おでんせプラザぐろーぶ２Ｆ
医療法人社団こうぶん会　後藤泌尿器科皮膚科医院,027-0083,岩手県宮古市大通り１－３－２４
医療法人　弘誠会　阿部医院,029-0302,岩手県一関市東山町長坂字町３７９
医療法人　内科おひさまクリニック,030-0823,青森県青森市橋本１－９－２６
川口内科,030-0847,青森県青森市東大野１－８－４
高　内科小児科医院,030-0957,青森県青森市蛍沢３－１２－１５
剛　整形外科クリニック,030-0966,青森県青森市花園２－２２－３
医療法人　北村耳鼻咽喉科医院,031-0802,青森県八戸市小中野３－１－３０
医療法人　橋本耳鼻科クリニック,031-0823,青森県八戸市湊高台５－２０－１８
育成会内科小児科,034-0083,青森県十和田市西三番町１－２８
医療法人　悠陽　えと内科医院,034-0083,青森県十和田市西三番町１－２８
斎藤医院,036-0241,青森県平川市八幡崎本林１１
相原内科小児科医院,036-8062,青森県弘前市青山３－８－２
青山胃腸科内科クリニック,036-8103,青森県弘前市川先２－３－７
田中外科内科医院,038-3662,青森県北津軽郡板柳町大字板柳字土井２００
八戸西健診プラザ,039-1103,青森県八戸市長苗代字中坪７４－１
田名部整形外科,039-1165,青森県八戸市石堂１－５－２５
医療法人社団　守一会　北美原クリニック,041-0802,北海道函館市石川町３５０－１８
社会医療法人　仁生会　西堀病院,041-8555,北海道函館市中道２－６－１１
医療法人社団　三ッ山病院,047-0032,北海道小樽市稲穂１－９－２
小松内科循環器科医院,049-0111,北海道北斗市七重浜５－１５－１５
医療法人社団　下地内科クリニック,050-0063,北海道室蘭市港北町１－１１－４
医療法人社団　はざま小児科クリニック,050-0073,北海道室蘭市宮の森町４－１２－１８
