facility_code,name,zip,address,longitude,latitude,method,matching_level
A010033,医療法人社団　池田内科,001-0901,北海道札幌市北区新琴似一条１３－１－７,141.30420215,43.11116242,geocoding,
A010038,医療法人社団　健志会　しのろ駅前医院,002-8024,北海道札幌市北区篠路四条６－１１－１７,141.3631033,43.14589833,geocoding,
A010037,医療法人社団　清香会　おおしま内科胃腸科クリニック,003-0023,北海道札幌市白石区南郷通１８丁目北３－２８,141.43469012,43.03150647,geocoding,
A010022,医療法人社団　小川医院,003-0027,北海道札幌市白石区本通１６丁目北１１－１４,141.43419265,43.03652812,geocoding,
A010098,医療法人社団　結樹会　スターフィールドクリニック札幌,003-0801,北海道札幌市白石区菊水１条３－２－１２　ＫＡＷＡＭＵＲＡ　ＢＬＤ　１階,141.37200551,43.05547155,geocoding,
A010029,中島内科胃腸科クリニック,003-0811,北海道札幌市白石区菊水上町１－３－３６,141.38235698,43.06422366,geocoding,
A010041,ＳＡＭ　ＣＬＩＮＩＣ,004-0033,北海道札幌市厚別区上野幌三条６－５－６,141.48045397,43.01028783,geocoding,
A010044,新札幌耳鼻咽喉科医院,004-0051,北海道札幌市厚別区厚別中央一条６－２－１５新札幌センタービル２階,141.47556659,43.0400957,geocoding,
A010082,医療法人　基仁会　新道東おおた内科,007-0837,北海道札幌市東区北三十七条東１５－１－２４,141.36799652,43.1074175,geocoding,
A050036,医療法人　工藤胃腸内科クリニック,010-0001,秋田県秋田市中通１－３－５秋田キャッスルホテル２Ｆ,140.12046261,39.71777778,geocoding,
A050059,大野小児科医院,010-0013,秋田県秋田市南通築地２－１５,140.12476821,39.71127309,geocoding,
A050065,ひかり桜ケアクリニック,010-0042,秋田県秋田市桜２－１７－２３,140.14972697,39.70928796,geocoding,
A050013,高橋内科医院,010-0042,秋田県秋田市桜４－１－１,140.15141018,39.70820757,geocoding,
A050068,男鹿みなと市民病院,010-0511,秋田県男鹿市船川港船川字海岸通り１号８－６,139.84680554,39.88500102,geocoding,3.0
A050043,お肌のクリニック,010-0864,秋田県秋田市手形住吉町１－３三愛会ビル２Ｆ,140.13002514,39.72532448,geocoding,
A050045,大町内科外科クリニック,010-0921,秋田県秋田市大町１－２－２３,140.11818208,39.72033854,geocoding,
A050005,医療法人　武田胃腸クリニック,010-0921,秋田県秋田市大町１－６－１２,140.11337411,39.72100499,geocoding,
A050001,島田クリニック,010-0931,秋田県秋田市川元山下町７－２１,140.10537522,39.71278619,geocoding,
A050006,はらだ小児科医院,010-0953,秋田県秋田市山王中園町２－１６,140.09705079,39.71436355,geocoding,
A050062,えのきこどもクリニック,010-0972,秋田県秋田市八橋田五郎２－１３－１８,140.09407798,39.72958121,geocoding,
A050008,中込内科医院,010-0973,秋田県秋田市八橋本町３－１－５,140.10181382,39.72300444,geocoding,
A050031,医療法人　健雄会　雄和もてぎクリニック,010-1223,秋田県秋田市雄和妙法字上大部９０－１,140.17005836,39.59212224,geocoding,
A050044,医療法人　杏仁会　御所野ひかりクリニック,010-1423,秋田県秋田市仁井田字横山２６０－１,140.15251415,39.67737239,geocoding,
A050061,小松内科クリニック,010-1425,秋田県秋田市御野場新町２－１０－１２,140.12318672,39.67131942,geocoding,
A050023,医療法人　藤盛レィディーズクリニック,010-8506,秋田県秋田市東通仲町４－１－４Ｆ,140.13146732,39.71581724,geocoding,
A050048,真崎耳鼻咽喉科医院,011-0946,秋田県秋田市土崎港中央６－８－３,140.07421994,39.75536927,geocoding,
A050037,医療法人　健生会　佐藤外科胃腸科,012-0037,秋田県湯沢市字沖鶴１６７－２,140.47795871,39.17362459,geocoding,
A050042,渡辺内科循環器科医院,013-0060,秋田県横手市条里３－３－１０,140.55366628,39.31607498,geocoding,
A050012,和賀胃腸科内科医院,013-0063,秋田県横手市婦気大堤字谷地添１２６,140.55302018,39.30330711,geocoding,
A050064,大野医院,014-0325,秋田県仙北市角館町東勝楽丁１７,140.56262669,39.59656773,geocoding,
A050003,かとうファミリークリニック,014-1201,秋田県仙北市田沢湖生保内字浮世坂７４－１,140.72127799,39.69714653,geocoding,
A050016,浅野耳鼻咽喉科医院,015-0802,秋田県由利本荘市表尾崎町１７－４,140.04813772,39.38702998,geocoding,
A050052,梵天内科クリニック,015-0843,秋田県由利本荘市東梵天１７１－１,140.06427055,39.38446588,geocoding,
A050034,佐々木産婦人科医院,015-0874,秋田県由利本荘市給人町３７－１,140.04254337,39.38843527,geocoding,
A050035,たなか耳鼻咽喉科医院,016-0861,秋田県能代市字彩霞長根３３－１,140.02880242,40.19365541,geocoding,
A050018,ふじた耳鼻咽喉科クリニック,017-0042,秋田県大館市字観音堂４２４－１,140.57420003,40.28334221,geocoding,
A050024,石田脳神経外科クリニック,017-0046,秋田県大館市清水１－１－６０,140.55229098,40.28592464,geocoding,
A030018,江村胃腸科内科医院,020-0044,岩手県盛岡市城西町７－３３,141.12611126,39.70328802,geocoding,
A030019,ゆとりが丘クリニック,020-0638,岩手県滝沢市土沢５４１,141.10269782,39.7478159,geocoding,
A030011,医療法人　ちだ内科・外科クリニック,020-0824,岩手県盛岡市東安庭１－２３－６０,141.16408896,39.68038592,geocoding,
A030001,医療法人社団　愛和会　盛岡南病院,020-0835,岩手県盛岡市津志田１３地割１８－４,141.15592961,39.65646858,geocoding,
A030031,医療法人泰悠会　大浦内科・歯科クリニック,020-0836,岩手県盛岡市津志田西二丁目１３－３,141.15028808,39.66381766,geocoding,6.0
A030027,医療法人　遠山病院,020-0877,岩手県盛岡市下ノ橋町６－１４,141.14885653,39.69705056,geocoding,
A030006,医療法人　中野内科循環器科クリニック,021-0053,岩手県一関市山目字中野５７－１,141.11468172,38.93483134,geocoding,
A030030,えんどう消化器科内科クリニック,022-0004,岩手県大船渡市猪川町字中井沢７－２,141.71333736,39.09172224,geocoding,6.0
A030007,いしかわ内科クリニック,024-0055,岩手県北上市大堤南１－１－２５,141.09935675,39.2617526,geocoding,
A030003,医療法人　愛久会　きたかみ駅前内科クリニック,024-0061,岩手県北上市大通り１－３－１おでんせプラザぐろーぶ２Ｆ,141.12001541,39.28199265,geocoding,
A030023,医療法人社団こうぶん会　みやこ後藤医院,027-0083,岩手県宮古市大通り１－３－２４,141.95193721,39.6415278,geocoding,
A030016,医療法人　弘誠会　阿部医院,029-0302,岩手県一関市東山町長坂字町３７９,141.24696785,38.98133083,geocoding,
A020015,医療法人　内科おひさまクリニック,030-0823,青森県青森市橋本１－９－２６,140.75386709,40.82402944,geocoding,
